GEOID,county_name,total_population,equity_need_score,commute_burden_score,is_transit_desert,transit_access_index,median_household_income,predicted_burden_score,high_priority_flag
06075035300,San Francisco,7157,0.2507,0.1447,0,0.7,146620,0.1169,0
06075035400,San Francisco,7431,0.2793,0.1789,0,0.7,139477,0.1167,0
06075040100,San Francisco,4228,0.2814,0.1695,0,0.6999999999999997,136429,0.1191,0
06075040200,San Francisco,5464,0.1615,0.0839,0,0.7,184617,0.083,0
06075042700,San Francisco,5229,0.3094,0.0942,0,0.7,104414,0.0975,0
06075042800,San Francisco,2348,0.1419,0.0626,0,0.4847006881211982,250001,0.1101,0
06075047600,San Francisco,5121,0.2107,0.1396,0,0.6999999999999998,169563,0.0958,0
06075023400,San Francisco,4039,0.4136,0.1925,0,0.7,78664,0.1409,1
06075025100,San Francisco,3408,0.2758,0.1394,0,0.6999999999999998,131801,0.0887,0
06075047701,San Francisco,4848,0.2584,0.0826,0,0.7,125658,0.1072,0
06075060100,San Francisco,3952,0.2438,0.1067,0,0.151055952741102,236445,0.142,1
06085503710,Santa Clara,3334,0.5394,0.1107,1,0.0,56582,0.0987,0
06085503711,Santa Clara,4780,0.4461,0.0517,1,0.0,96650,0.1052,0
06075047902,San Francisco,3350,0.2591,0.0907,0,0.7,126944,0.0879,0
06085503332,Santa Clara,5993,0.3995,0.1143,1,0.0,133872,0.1413,1
06085503330,Santa Clara,7156,0.2528,0.0905,1,0.0,250001,0.0948,0
06085504423,Santa Clara,2101,0.3192,0.1005,1,0.0,176528,0.0853,0
06085511707,Santa Clara,3090,0.2382,0.0042,1,0.0,211250,0.0657,0
06085511704,Santa Clara,4577,0.2203,0.0255,1,0.0,250001,0.059,0
06085511609,Santa Clara,3274,0.3245,0.027,1,0.0,150192,0.0866,0
06085512510,Santa Clara,6844,0.4893,0.1807,1,0.0,105833,0.1008,0
06085512509,Santa Clara,8056,0.3847,0.2454,1,0.0,183036,0.1285,0
06085512310,Santa Clara,5395,0.4939,0.1683,1,0.0,101500,0.1491,1
06085503331,Santa Clara,3725,0.4338,0.1335,1,0.0,119663,0.094,0
06085510600,Santa Clara,6100,0.3132,0.0383,1,0.0,159250,0.0902,0
06085511705,Santa Clara,2047,0.2075,0.0,1,0.0,250001,0.0822,0
06085513000,Santa Clara,10780,0.4978,0.0199,1,0.0,50346,0.0719,0
06085512053,Santa Clara,5205,0.3754,0.0866,1,0.0,138750,0.0703,0
06075020300,San Francisco,3474,0.1814,0.0883,0,0.7,172151,0.089,0
06075020900,San Francisco,4098,0.2999,0.1657,0,0.7756,117813,0.119,0
06075021000,San Francisco,3820,0.199,0.0593,0,0.7,151118,0.0909,0
06075021100,San Francisco,3959,0.1592,0.147,0,0.7,228125,0.1019,0
06075021200,San Francisco,2984,0.1721,0.1185,0,0.7,191156,0.1014,0
06075021300,San Francisco,2663,0.1854,0.1283,0,0.7,183417,0.0855,0
06075021400,San Francisco,3500,0.1367,0.0891,0,0.7,217353,0.0899,0
06075021500,San Francisco,5559,0.1444,0.0795,0,0.6999999999999998,200938,0.1025,0
06075021600,San Francisco,4414,0.1359,0.0892,0,0.7,218988,0.0848,0
06075021700,San Francisco,4602,0.2416,0.1089,0,0.7,141250,0.1092,0
06075021800,San Francisco,4121,0.1246,0.0835,0,0.6999999999999998,232500,0.0841,0
06075022600,San Francisco,3849,0.1347,0.1063,0,0.6882664602177158,239625,0.106,0
06075022802,San Francisco,2369,0.2863,0.1583,0,0.6999999999999998,131042,0.1097,0
06075022902,San Francisco,2096,0.128,0.0297,0,0.6999999999999998,190875,0.0727,0
06075022903,San Francisco,2850,0.1875,0.1801,0,0.6999999999999998,209659,0.098,0
06075023001,San Francisco,5719,0.3568,0.146,0,0.7,95052,0.135,1
06075023003,San Francisco,4157,0.3023,0.0748,0,0.7,103472,0.0935,0
06013359103,Contra Costa,5435,0.4707,0.1114,1,0.0,99424,0.1362,1
06013317000,Contra Costa,1934,0.538,0.116,1,0.0,61250,0.1793,1
06013328000,Contra Costa,2326,0.5624,0.2264,0,0.1886394559539431,52099,0.1926,1
06001450744,Alameda,5818,0.3115,0.1218,1,0.0,193214,0.1214,0
06001405901,Alameda,3757,0.5714,0.1685,1,0.0,51292,0.127,0
06001450101,Alameda,6883,0.361,0.1934,0,0.0968843143631769,166898,0.1284,0
06013330000,Contra Costa,5587,0.4489,0.2009,0,0.0493839436190251,124833,0.1626,1
06013332000,Contra Costa,8109,0.4511,0.1795,1,0.0,123525,0.1582,1
06013372000,Contra Costa,7610,0.5013,0.1273,1,0.0,89964,0.1269,0
06013373000,Contra Costa,4386,0.5303,0.1605,0,0.0018206277769796,83413,0.1312,1
06013310000,Contra Costa,6257,0.5891,0.2297,0,0.0001557000103038,67054,0.1755,1
06013374000,Contra Costa,4687,0.5027,0.1345,0,0.0753700753593171,83194,0.1329,1
06013375000,Contra Costa,5271,0.4301,0.1308,0,0.5027437289801112,74306,0.1129,0
06013376000,Contra Costa,6712,0.5551,0.202,0,0.1133455450163204,64964,0.1527,1
06013377000,Contra Costa,7826,0.5408,0.1667,0,0.1685872317422579,41264,0.1184,0
06013383000,Contra Costa,5848,0.432,0.0834,0,0.0416283671899529,105905,0.1189,0
06013385200,Contra Costa,1413,0.3621,0.1032,0,0.1838942663292631,130804,0.1607,1
06013387000,Contra Costa,3090,0.4719,0.1437,0,0.0020021066206201,105524,0.1412,1
06013391000,Contra Costa,2568,0.3444,0.1308,0,0.0020481621377143,170625,0.1331,1
