GEOID,county_name,total_population,pop_density,median_household_income,total_commuters,public_transit_commuters,transit_mode_share,zero_vehicle_pct,long_commute_pct,stop_count,stop_density_per_sq_km,pct_area_covered_800m,agencies_serving,dist_to_nearest_bart_m
06013324002,Contra Costa,4740,2338.314680426638,103581,3147,278,0.08833809977756593,0.09740259740259741,0.2148077534159517,0,0.0,0.0,0,2599.6868452656754
06013320004,Contra Costa,6599,1112.4227263475607,118109,3467,105,0.03028554946639746,0.020689655172413793,0.14479376982982406,0,0.0,0.0,0,4927.6642211472945
06013336201,Contra Costa,3376,2721.291877589302,92708,1747,122,0.06983400114481969,0.05604719764011799,0.14882655981682885,0,0.0,0.0,0,2189.4361159732634
06013338203,Contra Costa,5431,3443.7825983939997,142840,3768,895,0.23752653927813164,0.09456963428149243,0.16162420382165604,0,0.0,63.22438943064902,0,342.06178337276356
06013338204,Contra Costa,6600,2476.5658405078702,140739,3712,608,0.16379310344827586,0.02616571620261657,0.18345905172413793,0,0.0,2.4364734262894485,0,1311.0724982141128
06013345204,Contra Costa,3152,214.97538425848938,237841,1442,30,0.020804438280166437,0.018467220683287166,0.12968099861303745,0,0.0,0.0,0,8124.582753328609
06013345203,Contra Costa,6954,258.19397438711906,177356,3465,44,0.012698412698412698,0.029271862422246615,0.08167388167388168,0,0.0,0.0,0,11824.227860330282
06013345112,Contra Costa,7723,908.974157010732,184091,3553,207,0.05826062482409232,0.04671150971599402,0.15930199831128625,0,0.0,0.0,0,6866.124746191926
06013345113,Contra Costa,4767,877.3448059779051,222212,2253,44,0.019529516200621395,0.047619047619047616,0.19573901464713714,0,0.0,0.0,0,10714.900316225796
06001441402,Alameda,5344,3213.8865941411714,180938,2335,169,0.07237687366167024,0.0378619153674833,0.16059957173447537,0,0.0,0.0,0,2209.464274345333
06001441501,Alameda,5723,2002.1837345570482,184967,2431,107,0.04401480872069107,0.005411906193625977,0.11435623200329083,0,0.0,0.0,0,5529.688114716459
06001441521,Alameda,6016,3705.0654288569117,229318,2647,260,0.09822440498677748,0.028930131004366814,0.15942576501700037,0,0.0,0.0,0,3701.271213195075
06001441522,Alameda,5275,4011.1112347077965,178182,2226,64,0.028751123090745734,0.02592087312414734,0.11500449236298294,0,0.0,0.0,0,3589.6091002890616
06001441601,Alameda,4774,3681.7431928208957,189667,2162,94,0.043478260869565216,0.015544041450777202,0.15263644773358,0,0.0,0.0,0,3243.1221079569095
06001441602,Alameda,7509,4464.111299806977,121667,3387,97,0.02863891349276646,0.0531634446397188,0.1219368172423974,0,0.0,0.0,0,3768.1422196351664
06001441800,Alameda,6209,3047.0396248146776,152667,2919,108,0.03699897225077081,0.06094306049822064,0.0777663583418979,0,0.0,12.672370437079831,0,1329.5556339943273
06001441921,Alameda,3849,4545.30750453078,163468,2303,189,0.08206686930091185,0.0,0.14893617021276595,0,0.0,0.0,0,1844.941713451439
06001441923,Alameda,5777,3827.3791879354494,132810,2497,215,0.08610332398878655,0.10210479175996418,0.08930716860232278,0,0.0,29.216544819633082,0,1031.558385156909
06001442100,Alameda,5327,2865.804416389089,227949,2594,127,0.048959136468774096,0.0037688442211055275,0.09213569776407093,0,0.0,0.0,0,2574.817714411781
06001442400,Alameda,6417,4054.1214443155636,124886,3157,86,0.027241051631295535,0.020675743822491176,0.12480202724105163,0,0.0,0.0,0,2910.11510505629
06001440337,Alameda,2852,2514.746982859356,250001,1356,88,0.06489675516224189,0.0,0.10693215339233038,0,0.0,46.7722302612188,0,654.7842947633727
06001440338,Alameda,4095,4731.874749914408,144850,2165,458,0.2115473441108545,0.05371152685576343,0.1556581986143187,2,2.3110499389081363,79.49619466745942,1,386.71978214970295
06001451103,Alameda,1361,22.58902175833484,250001,531,0,0.0,0.0,0.1167608286252354,0,0.0,0.0,0,16537.376810380945
06001432602,Alameda,3123,5092.875505370878,109274,1788,282,0.15771812080536912,0.0987460815047022,0.09843400447427293,0,0.0,22.385194175622473,0,930.0699108513935
06001451104,Alameda,7164,14.39890599162056,177210,3417,107,0.031314018144571264,0.05202578268876611,0.19959028387474392,0,0.0,0.0,0,25151.929714300077
06001441928,Alameda,3736,1340.418054672101,151902,2030,217,0.10689655172413794,0.052132701421800945,0.20246305418719213,0,0.0,4.086813466814513,0,1384.7652291483819
06001441929,Alameda,3064,6346.906389263377,126111,1624,270,0.16625615763546797,0.17549668874172186,0.17364532019704434,0,0.0,90.06141947175708,0,516.8001031552097
06001441701,Alameda,3884,3526.2023282489263,133606,1528,36,0.02356020942408377,0.12386457473162675,0.10798429319371727,0,0.0,0.0,0,3547.1245094831415
06001444304,Alameda,6408,381.7130918296903,189750,3602,107,0.029705719044975015,0.007660878447395302,0.06662965019433648,0,0.0,0.0,0,7574.716648785052
06001441525,Alameda,1603,343.8519429325911,186354,738,38,0.051490514905149054,0.10732538330494037,0.04065040650406504,2,0.4290105339146489,40.50077954732584,1,365.4840855207317
06001436301,Alameda,5255,4968.589374956065,149063,2301,313,0.1360278139939157,0.05913978494623656,0.18035636679704475,0,0.0,40.32227262259444,0,700.1862424817384
06001450400,Alameda,7886,2504.7508552322533,151272,3841,471,0.12262431658422286,0.009658246656760773,0.23197084092684198,0,0.0,24.772901564478378,0,1479.7266052041593
