NAME,total_population,total_commuters,public_transit_commuters,drove_alone,carpooled,worked_from_home,travel_time_total,commute_60_to_89_min,commute_90_plus_min,median_household_income,total_households_vehicles,zero_vehicle_households,total_pop_race,white_non_hispanic,black,asian,hispanic_latino,state,county,tract,county_name,GEOID
Census Tract 4001; Alameda County; California,3269,1582,145,630,141,92,1018,107,39,234236,1377,95,3269,2255,171,477,167,06,001,400100,Alameda,06001400100
Census Tract 4002; Alameda County; California,2147,1124,287,250,62,21,669,97,16,225500,876,83,2147,1500,38,251,159,06,001,400200,Alameda,06001400200
Census Tract 4003; Alameda County; California,5619,3301,921,918,115,97,2224,299,91,164000,2638,367,5619,3290,529,635,568,06,001,400300,Alameda,06001400300
Census Tract 4004; Alameda County; California,4278,2455,516,752,170,110,1749,172,80,158836,1760,249,4278,2740,499,373,306,06,001,400400,Alameda,06001400400
Census Tract 4005; Alameda County; California,3949,2210,395,859,108,37,1537,106,29,95078,1679,143,3949,1638,993,370,612,06,001,400500,Alameda,06001400500
Census Tract 4006; Alameda County; California,2058,1311,240,559,58,34,941,52,127,155893,768,72,2058,905,539,131,134,06,001,400600,Alameda,06001400600
Census Tract 4007; Alameda County; California,4758,3099,726,1047,234,52,2289,185,49,110556,2012,279,4758,2293,1101,398,470,06,001,400700,Alameda,06001400700
Census Tract 4008; Alameda County; California,4335,2831,485,1119,117,111,2113,206,152,97132,1885,189,4335,2228,643,695,387,06,001,400800,Alameda,06001400800
Census Tract 4009; Alameda County; California,2844,1942,317,890,154,23,1507,73,21,114583,1113,50,2844,1052,692,174,533,06,001,400900,Alameda,06001400900
Census Tract 4010; Alameda County; California,6277,3942,742,1200,249,103,2584,175,53,153654,2302,356,6277,2095,1478,464,1389,06,001,401000,Alameda,06001401000
Census Tract 4011; Alameda County; California,5537,3480,1314,1107,69,67,2720,248,171,93121,2649,410,5537,2325,906,1005,658,06,001,401100,Alameda,06001401100
Census Tract 4012; Alameda County; California,2994,2005,544,614,150,25,1473,228,0,115045,1429,163,2994,1718,239,441,387,06,001,401200,Alameda,06001401200
Census Tract 4013; Alameda County; California,4608,3085,665,983,145,380,2474,402,128,104226,2401,749,4608,1657,1325,827,393,06,001,401300,Alameda,06001401300
Census Tract 4014; Alameda County; California,5392,3202,850,1532,255,93,2875,272,149,95011,1741,286,5392,1380,1716,731,1175,06,001,401400,Alameda,06001401400
Census Tract 4015; Alameda County; California,3035,1709,337,853,40,104,1469,94,78,75568,1203,349,3035,662,1666,88,467,06,001,401500,Alameda,06001401500
Census Tract 4016; Alameda County; California,2403,1333,185,609,150,39,1063,24,23,88304,909,100,2403,446,788,265,697,06,001,401600,Alameda,06001401600
Census Tract 4017; Alameda County; California,3276,2224,431,1017,147,0,1681,240,30,145833,1406,60,3276,1487,452,551,549,06,001,401700,Alameda,06001401700
Census Tract 4018; Alameda County; California,1709,965,315,330,63,12,804,101,37,72401,693,192,1709,417,649,78,454,06,001,401800,Alameda,06001401800
Census Tract 4022; Alameda County; California,2337,1435,362,518,116,64,1139,94,59,96200,924,172,2337,747,647,295,537,06,001,402200,Alameda,06001402200
Census Tract 4024; Alameda County; California,2623,1156,357,448,22,81,1008,161,14,31279,1242,474,2623,349,1432,393,228,06,001,402400,Alameda,06001402400
Census Tract 4025; Alameda County; California,2010,738,265,314,40,23,666,217,33,34250,773,280,2010,314,878,388,235,06,001,402500,Alameda,06001402500
Census Tract 4026; Alameda County; California,1300,593,77,272,28,67,489,0,7,45560,615,187,1300,123,500,479,76,06,001,402600,Alameda,06001402600
Census Tract 4027; Alameda County; California,2039,1122,357,341,84,65,894,47,34,115750,735,190,2039,523,763,312,347,06,001,402700,Alameda,06001402700
Census Tract 4028.01; Alameda County; California,3254,1858,619,467,123,130,1440,243,36,74931,1707,735,3254,869,1411,620,148,06,001,402801,Alameda,06001402801
Census Tract 4028.02; Alameda County; California,1430,590,158,123,26,57,473,39,13,-666666666,717,446,1430,329,613,252,51,06,001,402802,Alameda,06001402802
Census Tract 4029; Alameda County; California,1828,918,347,186,12,79,663,81,17,37973,1236,727,1828,365,408,806,182,06,001,402900,Alameda,06001402900
Census Tract 4030; Alameda County; California,2897,1187,401,326,49,189,965,14,10,32077,1566,868,2897,250,146,2222,62,06,001,403000,Alameda,06001403000
Census Tract 4031; Alameda County; California,1941,1072,376,287,6,44,726,57,33,136071,960,353,1941,767,323,537,241,06,001,403100,Alameda,06001403100
Census Tract 4033.01; Alameda County; California,1830,923,235,338,114,171,858,212,42,34417,771,284,1830,187,51,1262,38,06,001,403301,Alameda,06001403301
Census Tract 4033.02; Alameda County; California,2556,2136,652,563,24,173,1602,236,45,148235,1416,231,2556,1317,123,559,158,06,001,403302,Alameda,06001403302
Census Tract 4034.01; Alameda County; California,2717,1556,413,477,73,205,1261,138,0,69984,1985,774,2717,1154,447,678,238,06,001,403401,Alameda,06001403401
Census Tract 4034.02; Alameda County; California,1134,925,427,136,132,95,810,113,0,89021,735,282,1134,493,172,152,135,06,001,403402,Alameda,06001403402
Census Tract 4035.01; Alameda County; California,4904,3069,720,1163,58,177,2359,246,101,104167,2714,749,4904,1874,740,1525,387,06,001,403501,Alameda,06001403501
Census Tract 4035.02; Alameda County; California,1919,1337,446,377,64,68,1013,115,78,108478,1118,181,1919,939,221,208,324,06,001,403502,Alameda,06001403502
Census Tract 4036; Alameda County; California,5056,3264,419,1236,82,484,2370,223,46,99925,2833,346,5056,1933,1174,497,857,06,001,403600,Alameda,06001403600
Census Tract 4037.01; Alameda County; California,2909,1853,323,645,87,126,1335,88,132,84063,1752,453,2909,1222,632,573,305,06,001,403701,Alameda,06001403701
Census Tract 4037.02; Alameda County; California,2238,1481,284,459,180,52,1002,84,38,115156,1202,204,2238,1224,369,264,244,06,001,403702,Alameda,06001403702
Census Tract 4038; Alameda County; California,4008,2407,297,889,211,120,1554,272,111,154524,1934,196,4008,2471,606,397,288,06,001,403800,Alameda,06001403800
Census Tract 4039; Alameda County; California,3883,2263,541,772,51,52,1554,148,100,126075,2157,196,3883,2436,360,584,433,06,001,403900,Alameda,06001403900
Census Tract 4040; Alameda County; California,3145,2052,335,745,78,182,1386,99,39,98214,1814,194,3145,1597,377,361,615,06,001,404000,Alameda,06001404000
Census Tract 4041.01; Alameda County; California,3208,2174,438,796,108,115,1657,281,78,128711,1767,249,3208,2365,269,287,141,06,001,404101,Alameda,06001404101
Census Tract 4041.02; Alameda County; California,2701,1446,276,511,109,101,1024,88,17,98472,1628,480,2701,1430,155,408,293,06,001,404102,Alameda,06001404102
Census Tract 4042; Alameda County; California,3894,1865,246,871,90,76,1283,116,10,247619,1460,26,3894,2606,192,435,286,06,001,404200,Alameda,06001404200
Census Tract 4043; Alameda County; California,3587,1837,251,748,63,37,1178,73,7,227237,1424,43,3587,2696,46,474,214,06,001,404300,Alameda,06001404300
Census Tract 4044; Alameda County; California,5823,2895,302,1436,201,34,1989,34,0,184737,2450,72,5823,3417,142,1095,182,06,001,404400,Alameda,06001404400
Census Tract 4045.01; Alameda County; California,1820,947,97,390,40,47,650,79,5,232112,685,23,1820,1197,94,142,116,06,001,404501,Alameda,06001404501
Census Tract 4045.02; Alameda County; California,6110,3254,348,1298,300,11,2015,283,111,227361,2582,32,6110,4030,353,1021,326,06,001,404502,Alameda,06001404502
Census Tract 4046; Alameda County; California,4934,2215,312,995,120,47,1503,227,74,222617,1935,72,4934,2872,263,662,216,06,001,404600,Alameda,06001404600
Census Tract 4047; Alameda County; California,2187,1154,107,425,118,5,681,135,11,250001,849,0,2187,1477,100,252,198,06,001,404700,Alameda,06001404700
Census Tract 4048; Alameda County; California,2744,1204,206,504,106,28,968,148,33,114083,1145,255,2744,1444,315,444,275,06,001,404800,Alameda,06001404800
Census Tract 4049; Alameda County; California,4669,2899,421,1184,170,56,1925,244,25,151860,2041,187,4669,2530,283,638,764,06,001,404900,Alameda,06001404900
Census Tract 4050; Alameda County; California,3665,2230,338,1179,110,9,1676,210,17,152857,1580,79,3665,2086,493,445,376,06,001,405000,Alameda,06001405000
Census Tract 4051; Alameda County; California,4508,2444,253,951,81,86,1494,191,68,250001,1702,17,4508,2986,255,547,305,06,001,405100,Alameda,06001405100
Census Tract 4052; Alameda County; California,4913,3025,470,1219,99,176,2113,222,115,105222,2292,322,4913,1670,680,1939,305,06,001,405200,Alameda,06001405200
Census Tract 4053.01; Alameda County; California,2872,2072,436,1006,81,11,1570,183,78,112656,1479,275,2872,1394,400,411,480,06,001,405301,Alameda,06001405301
Census Tract 4053.02; Alameda County; California,2559,1544,397,535,33,56,1067,164,0,63709,1539,473,2559,876,596,795,159,06,001,405302,Alameda,06001405302
Census Tract 4054.01; Alameda County; California,3541,2175,572,992,179,116,1935,324,106,70231,1584,415,3541,894,444,1132,834,06,001,405401,Alameda,06001405401
Census Tract 4054.02; Alameda County; California,3673,1907,379,830,156,28,1584,136,0,61204,1232,210,3673,746,561,1315,862,06,001,405402,Alameda,06001405402
Census Tract 4055; Alameda County; California,3537,1972,298,1260,77,16,1684,154,49,82222,1610,315,3537,756,690,1288,520,06,001,405500,Alameda,06001405500
Census Tract 4056; Alameda County; California,3044,2065,341,992,145,0,1519,143,55,80669,1447,284,3044,941,524,672,677,06,001,405600,Alameda,06001405600
Census Tract 4057; Alameda County; California,3522,2150,278,1463,158,11,1933,186,28,74547,1505,142,3522,530,985,934,876,06,001,405700,Alameda,06001405700
Census Tract 4058; Alameda County; California,4182,1973,144,1288,294,0,1862,119,5,67222,1342,105,4182,494,850,1815,864,06,001,405800,Alameda,06001405800
Census Tract 4059.01; Alameda County; California,3757,1685,293,813,220,20,1435,233,51,51292,1089,184,3757,189,643,1248,1266,06,001,405901,Alameda,06001405901
Census Tract 4059.02; Alameda County; California,3138,1611,223,967,112,60,1396,248,15,69097,923,124,3138,389,234,1270,916,06,001,405902,Alameda,06001405902
Census Tract 4060; Alameda County; California,4735,2530,500,1367,138,65,2219,42,90,56763,1816,438,4735,830,910,1939,963,06,001,406000,Alameda,06001406000
Census Tract 4061; Alameda County; California,4939,2360,323,1188,145,150,1855,123,86,64879,1810,217,4939,897,438,1003,2345,06,001,406100,Alameda,06001406100
Census Tract 4062.01; Alameda County; California,5072,2333,383,1283,279,78,2035,141,141,50417,1515,279,5072,284,695,1446,2455,06,001,406201,Alameda,06001406201
Census Tract 4062.02; Alameda County; California,4733,2056,443,910,223,214,1933,130,0,55000,1350,372,4733,316,592,722,2955,06,001,406202,Alameda,06001406202
Census Tract 4063; Alameda County; California,4556,2331,558,1137,230,49,2067,267,95,62837,1379,96,4556,482,880,980,1590,06,001,406300,Alameda,06001406300
Census Tract 4064; Alameda County; California,2598,973,145,485,153,39,842,108,26,72955,824,129,2598,609,430,564,816,06,001,406400,Alameda,06001406400
Census Tract 4065; Alameda County; California,6494,3124,411,2130,235,0,2836,322,69,67717,1920,226,6494,777,861,1370,3183,06,001,406500,Alameda,06001406500
Census Tract 4066.01; Alameda County; California,4531,2450,218,1280,390,38,1958,158,96,75000,1836,45,4531,1034,1302,808,1069,06,001,406601,Alameda,06001406601
Census Tract 4066.02; Alameda County; California,2540,1063,269,537,98,34,977,150,23,58869,925,149,2540,344,567,567,866,06,001,406602,Alameda,06001406602
Census Tract 4067; Alameda County; California,5380,3162,292,1574,281,26,2258,225,71,143887,2083,88,5380,2465,366,1082,919,06,001,406700,Alameda,06001406700
Census Tract 4068; Alameda County; California,3971,1942,178,1081,85,0,1365,128,86,131161,1409,31,3971,1127,833,743,965,06,001,406800,Alameda,06001406800
Census Tract 4069; Alameda County; California,3865,2320,85,1194,175,155,1622,170,45,137943,1579,92,3865,1533,656,887,323,06,001,406900,Alameda,06001406900
Census Tract 4070; Alameda County; California,6202,2934,254,1457,432,97,2292,88,58,89755,1995,208,6202,1135,970,1263,2257,06,001,407000,Alameda,06001407000
Census Tract 4071.01; Alameda County; California,4053,1576,102,858,299,126,1401,28,27,48281,1133,129,4053,471,749,974,1640,06,001,407101,Alameda,06001407101
Census Tract 4071.02; Alameda County; California,4268,1956,422,1141,116,16,1707,93,110,70284,1387,345,4268,320,1011,1165,1591,06,001,407102,Alameda,06001407102
Census Tract 4072; Alameda County; California,6544,3091,648,1682,234,134,2829,342,81,59937,1843,278,6544,920,211,648,4626,06,001,407200,Alameda,06001407200
Census Tract 4073; Alameda County; California,2459,1082,134,529,216,100,997,149,80,77813,649,54,2459,268,207,298,1604,06,001,407300,Alameda,06001407300
Census Tract 4074; Alameda County; California,4242,1730,96,1242,141,61,1550,90,117,57961,1273,199,4242,253,1548,466,1882,06,001,407400,Alameda,06001407400
Census Tract 4075; Alameda County; California,3988,1491,77,983,205,3,1337,57,25,46019,1292,268,3988,280,910,751,1912,06,001,407500,Alameda,06001407500
Census Tract 4076; Alameda County; California,6459,3458,304,2139,309,0,2860,213,132,86761,2043,73,6459,1637,1617,705,2189,06,001,407600,Alameda,06001407600
Census Tract 4077; Alameda County; California,4238,2169,334,1119,165,11,1684,300,87,116814,1684,72,4238,1896,897,325,769,06,001,407700,Alameda,06001407700
Census Tract 4078; Alameda County; California,2769,1267,274,592,51,71,1008,205,115,113438,744,53,2769,989,602,340,671,06,001,407800,Alameda,06001407800
Census Tract 4079; Alameda County; California,3088,1753,82,1003,227,0,1354,214,57,124523,1349,10,3088,1530,398,426,396,06,001,407900,Alameda,06001407900
Census Tract 4080; Alameda County; California,2860,1411,79,768,178,58,1113,210,18,192159,1074,61,2860,1736,235,459,326,06,001,408000,Alameda,06001408000
Census Tract 4081; Alameda County; California,7313,3783,299,1869,314,26,2716,317,187,166786,2922,13,7313,2731,1828,1806,539,06,001,408100,Alameda,06001408100
Census Tract 4082; Alameda County; California,4471,2442,285,1527,173,13,2034,328,117,79821,1922,325,4471,752,1811,156,1300,06,001,408200,Alameda,06001408200
Census Tract 4083; Alameda County; California,4791,2552,373,1427,157,0,2008,248,90,129295,1856,98,4791,1046,1827,539,1007,06,001,408300,Alameda,06001408300
Census Tract 4084; Alameda County; California,4077,2004,421,1115,308,0,1844,178,44,63994,1339,223,4077,181,1610,300,1922,06,001,408400,Alameda,06001408400
Census Tract 4085; Alameda County; California,5634,2613,241,1832,330,24,2499,220,43,61750,1667,253,5634,149,2216,202,2783,06,001,408500,Alameda,06001408500
Census Tract 4086; Alameda County; California,6519,3214,306,1908,336,0,2635,136,162,80114,1995,75,6519,398,2818,362,2695,06,001,408600,Alameda,06001408600
Census Tract 4087; Alameda County; California,7456,3068,612,1942,265,0,2861,311,85,45500,2664,248,7456,673,2414,477,3788,06,001,408700,Alameda,06001408700
Census Tract 4088; Alameda County; California,7968,3184,349,1864,294,27,3023,286,12,44100,2358,624,7968,328,2723,353,3644,06,001,408800,Alameda,06001408800
Census Tract 4089; Alameda County; California,3956,1665,234,1081,194,7,1625,204,84,44077,1133,153,3956,171,836,172,2694,06,001,408900,Alameda,06001408900
Census Tract 4090; Alameda County; California,5039,2070,72,1348,132,291,1937,144,53,70769,1048,66,5039,165,1477,390,2960,06,001,409000,Alameda,06001409000
Census Tract 4091; Alameda County; California,2532,1252,123,530,436,23,1134,177,15,72204,685,165,2532,256,516,168,1559,06,001,409100,Alameda,06001409100
Census Tract 4092; Alameda County; California,3615,1510,170,1019,279,9,1510,174,35,73621,1031,80,3615,45,987,164,2249,06,001,409200,Alameda,06001409200
Census Tract 4093; Alameda County; California,5743,2319,240,1683,300,38,2261,56,0,56058,1707,192,5743,129,1357,286,3769,06,001,409300,Alameda,06001409300
Census Tract 4094; Alameda County; California,4710,2063,70,1552,238,0,1897,84,83,66602,1335,79,4710,217,851,432,3107,06,001,409400,Alameda,06001409400
Census Tract 4095; Alameda County; California,4291,1558,209,1048,96,63,1422,126,140,54000,1100,133,4291,505,759,72,2755,06,001,409500,Alameda,06001409500
Census Tract 4096; Alameda County; California,5139,2136,263,1548,121,0,1947,128,0,54012,1751,158,5139,172,1247,77,3599,06,001,409600,Alameda,06001409600
Census Tract 4097; Alameda County; California,5240,2015,269,1519,131,9,1959,138,20,47161,1648,343,5240,424,1875,168,1906,06,001,409700,Alameda,06001409700
Census Tract 4098; Alameda County; California,3511,1818,248,1128,147,22,1589,188,52,106023,1185,174,3511,618,1762,220,529,06,001,409800,Alameda,06001409800
Census Tract 4099; Alameda County; California,3983,1927,46,1130,168,10,1354,33,39,176141,1417,19,3983,926,1635,245,536,06,001,409900,Alameda,06001409900
Census Tract 4100; Alameda County; California,3177,1561,130,1012,116,0,1273,147,58,154648,1241,44,3177,1038,1502,211,158,06,001,410000,Alameda,06001410000
Census Tract 4101; Alameda County; California,3172,1464,154,884,118,25,1250,190,69,84135,1143,95,3172,310,1645,326,564,06,001,410100,Alameda,06001410100
Census Tract 4102; Alameda County; California,3238,1653,84,1164,160,0,1467,193,33,75106,1106,107,3238,343,1432,152,1205,06,001,410200,Alameda,06001410200
Census Tract 4103; Alameda County; California,3893,1787,50,1300,302,0,1661,104,24,54698,1063,99,3893,79,642,54,3044,06,001,410300,Alameda,06001410300
Census Tract 4104; Alameda County; California,4687,2367,235,1424,354,53,2118,307,59,82188,1432,221,4687,218,1465,370,2415,06,001,410400,Alameda,06001410400
Census Tract 4105; Alameda County; California,3081,1199,364,546,151,29,1095,120,6,46031,1003,237,3081,662,1814,126,373,06,001,410500,Alameda,06001410500
Census Tract 4201; Alameda County; California,2631,1272,128,462,93,75,809,59,40,188125,1022,57,2631,1426,122,517,350,06,001,420100,Alameda,06001420100
Census Tract 4202; Alameda County; California,3275,1953,334,864,54,146,1438,216,33,140508,1303,93,3275,1148,185,1297,158,06,001,420200,Alameda,06001420200
Census Tract 4203.01; Alameda County; California,2645,1352,245,592,91,21,985,128,20,113188,1103,58,2645,1004,64,1143,230,06,001,420301,Alameda,06001420301
Census Tract 4203.02; Alameda County; California,2446,1179,213,458,28,36,885,90,47,121538,944,107,2446,849,287,834,171,06,001,420302,Alameda,06001420302
Census Tract 4204.01; Alameda County; California,1333,533,62,131,25,153,408,1,0,72708,437,124,1333,427,0,483,314,06,001,420401,Alameda,06001420401
Census Tract 4204.02; Alameda County; California,1661,787,227,135,27,4,431,67,0,58835,647,122,1661,531,52,536,468,06,001,420402,Alameda,06001420402
Census Tract 4205; Alameda County; California,2548,1307,162,564,115,29,964,100,62,127000,962,84,2548,1245,57,630,404,06,001,420500,Alameda,06001420500
Census Tract 4206; Alameda County; California,3488,1704,253,541,46,63,997,173,29,169868,1328,30,3488,2222,36,491,272,06,001,420600,Alameda,06001420600
Census Tract 4211; Alameda County; California,2108,1088,118,500,49,1,683,226,42,234243,835,30,2108,1615,35,217,111,06,001,421100,Alameda,06001421100
Census Tract 4212; Alameda County; California,3557,1666,190,533,117,62,955,120,22,247171,1399,41,3557,2473,24,710,70,06,001,421200,Alameda,06001421200
Census Tract 4213; Alameda County; California,4011,1971,219,565,149,28,1112,180,49,130500,1808,69,4011,2907,7,578,115,06,001,421300,Alameda,06001421300
Census Tract 4214; Alameda County; California,1638,771,96,231,103,37,491,89,17,208500,620,25,1638,1270,31,114,147,06,001,421400,Alameda,06001421400
Census Tract 4215; Alameda County; California,4064,1915,180,633,113,63,1052,143,28,201950,1565,32,4064,3312,65,368,185,06,001,421500,Alameda,06001421500
Census Tract 4216; Alameda County; California,3854,1674,232,714,28,103,1207,260,39,218390,1493,52,3854,2746,93,428,150,06,001,421600,Alameda,06001421600
Census Tract 4217; Alameda County; California,3421,1790,294,498,11,243,1267,66,46,108339,1669,231,3421,2234,140,786,199,06,001,421700,Alameda,06001421700
Census Tract 4218; Alameda County; California,2260,1176,232,468,27,68,913,85,38,171168,919,56,2260,1584,20,354,114,06,001,421800,Alameda,06001421800
Census Tract 4219; Alameda County; California,4141,2393,403,880,180,160,1716,233,113,160063,1676,177,4141,2089,549,871,298,06,001,421900,Alameda,06001421900
Census Tract 4220; Alameda County; California,2453,1676,310,496,145,249,1235,118,45,140331,1185,119,2453,1214,119,510,164,06,001,422000,Alameda,06001422000
Census Tract 4221; Alameda County; California,3200,1848,224,779,56,63,1205,160,29,124583,1368,124,3200,1495,374,455,641,06,001,422100,Alameda,06001422100
Census Tract 4222; Alameda County; California,3280,1762,408,495,80,94,1189,189,12,105750,1424,161,3280,2054,83,360,239,06,001,422200,Alameda,06001422200
Census Tract 4223; Alameda County; California,3567,1732,330,447,155,187,1336,105,40,93750,1654,393,3567,1875,444,717,245,06,001,422300,Alameda,06001422300
Census Tract 4224; Alameda County; California,4187,2272,542,452,68,569,1647,47,72,69717,1853,622,4187,1580,134,1650,522,06,001,422400,Alameda,06001422400
Census Tract 4225; Alameda County; California,4467,2359,292,413,73,1056,1920,112,47,58558,1667,363,4467,1994,183,1432,585,06,001,422500,Alameda,06001422500
Census Tract 4227; Alameda County; California,4803,1847,167,330,87,630,1408,17,51,42417,999,382,4803,1744,186,1597,793,06,001,422700,Alameda,06001422700
Census Tract 4228; Alameda County; California,8980,2835,500,359,41,848,1989,209,50,26056,1363,969,8980,2486,515,3674,1671,06,001,422800,Alameda,06001422800
Census Tract 4229.01; Alameda County; California,2024,1008,250,169,0,326,817,20,12,49604,849,373,2024,820,0,1040,51,06,001,422901,Alameda,06001422901
Census Tract 4229.02; Alameda County; California,3022,1331,245,207,43,350,888,57,71,-666666666,1369,694,3022,907,203,1189,209,06,001,422902,Alameda,06001422902
Census Tract 4230; Alameda County; California,4549,2827,638,463,110,292,1639,139,44,86917,1891,230,4549,2605,343,1011,374,06,001,423000,Alameda,06001423000
Census Tract 4231; Alameda County; California,4275,1808,444,620,18,211,1454,243,58,61161,2008,629,4275,1766,1015,601,434,06,001,423100,Alameda,06001423100
Census Tract 4232; Alameda County; California,3003,1397,162,498,89,33,945,217,11,80106,1131,285,3003,1176,527,178,1004,06,001,423200,Alameda,06001423200
Census Tract 4233; Alameda County; California,3476,1700,279,705,42,67,1207,87,95,83450,1429,226,3476,1595,690,206,579,06,001,423300,Alameda,06001423300
Census Tract 4234; Alameda County; California,5551,3306,766,1151,116,85,2572,191,90,107455,2159,322,5551,2613,737,593,1237,06,001,423400,Alameda,06001423400
Census Tract 4235; Alameda County; California,3540,1990,396,648,154,155,1609,119,15,89728,1518,358,3540,1935,357,490,594,06,001,423500,Alameda,06001423500
Census Tract 4236.01; Alameda County; California,2738,1565,264,561,62,165,1167,135,58,155857,1122,114,2738,1715,102,352,358,06,001,423601,Alameda,06001423601
Census Tract 4236.02; Alameda County; California,7198,3473,747,948,93,1039,2939,210,13,59297,2216,800,7198,3393,108,2166,1006,06,001,423602,Alameda,06001423602
Census Tract 4237; Alameda County; California,3606,1648,134,499,44,426,1183,166,24,108750,1205,230,3606,2179,86,533,603,06,001,423700,Alameda,06001423700
Census Tract 4238; Alameda County; California,3425,1568,225,536,40,46,1059,168,55,191838,1421,45,3425,2485,37,393,189,06,001,423800,Alameda,06001423800
Census Tract 4239.01; Alameda County; California,2258,1328,269,398,138,0,1004,167,17,105625,859,128,2258,1168,286,153,444,06,001,423901,Alameda,06001423901
Census Tract 4239.02; Alameda County; California,1512,926,197,281,10,107,660,49,50,171583,659,97,1512,1041,90,212,107,06,001,423902,Alameda,06001423902
Census Tract 4240.01; Alameda County; California,3631,1954,574,539,145,98,1463,151,93,87500,1398,255,3631,1683,658,508,593,06,001,424001,Alameda,06001424001
Census Tract 4240.02; Alameda County; California,2663,1417,245,701,27,44,1117,58,27,103393,1037,222,2663,1004,830,301,453,06,001,424002,Alameda,06001424002
Census Tract 4251.01; Alameda County; California,1754,1121,142,632,61,80,989,91,16,81722,1243,153,1754,797,104,420,186,06,001,425101,Alameda,06001425101
Census Tract 4251.02; Alameda County; California,3969,2894,529,864,263,241,1947,202,136,124375,2291,357,3969,1170,507,1589,399,06,001,425102,Alameda,06001425102
Census Tract 4251.03; Alameda County; California,3103,2170,307,797,308,150,1631,170,38,119301,1721,147,3103,971,826,928,215,06,001,425103,Alameda,06001425103
Census Tract 4251.04; Alameda County; California,4014,2484,472,848,86,39,1539,191,52,119083,1978,395,4014,1668,624,949,388,06,001,425104,Alameda,06001425104
Census Tract 4261; Alameda County; California,6300,2900,267,1329,241,47,1927,160,75,250001,2137,10,6300,4288,0,1549,152,06,001,426100,Alameda,06001426100
Census Tract 4262; Alameda County; California,4861,2174,244,930,226,46,1483,132,28,250001,1652,55,4861,3310,70,866,281,06,001,426200,Alameda,06001426200
Census Tract 4271; Alameda County; California,4222,1997,260,944,114,63,1443,202,23,215045,1375,0,4222,2448,51,776,628,06,001,427100,Alameda,06001427100
Census Tract 4272; Alameda County; California,4508,2403,156,1318,30,130,1837,182,74,118571,1602,146,4508,1468,149,1788,748,06,001,427200,Alameda,06001427200
Census Tract 4273; Alameda County; California,5283,2695,264,1452,84,98,2034,163,58,124432,2015,169,5283,1673,859,1929,430,06,001,427300,Alameda,06001427300
Census Tract 4276; Alameda County; California,4740,2481,248,1552,211,96,2201,150,155,91820,1882,270,4740,1352,738,1645,733,06,001,427600,Alameda,06001427600
Census Tract 4277; Alameda County; California,5009,2869,393,1370,207,123,2141,274,89,120804,2173,365,5009,3052,107,1129,530,06,001,427700,Alameda,06001427700
Census Tract 4278; Alameda County; California,4274,2379,402,1142,158,22,1771,207,94,132647,1778,156,4274,2198,187,978,402,06,001,427800,Alameda,06001427800
Census Tract 4279; Alameda County; California,4686,2567,436,1322,104,50,2053,435,267,108691,2009,214,4686,2441,31,1182,645,06,001,427900,Alameda,06001427900
Census Tract 4280; Alameda County; California,2906,1418,327,757,44,52,1208,218,52,90750,1261,51,2906,925,350,700,409,06,001,428000,Alameda,06001428000
Census Tract 4281; Alameda County; California,4866,2552,389,1333,136,12,1881,194,121,155071,1856,113,4866,2495,332,1102,470,06,001,428100,Alameda,06001428100
Census Tract 4282; Alameda County; California,6475,2990,362,1468,244,89,2285,234,165,103333,2712,148,6475,3329,215,1267,852,06,001,428200,Alameda,06001428200
Census Tract 4283.01; Alameda County; California,7203,3858,676,1814,373,93,3145,557,122,191875,2326,30,7203,1874,368,3730,684,06,001,428301,Alameda,06001428301
Census Tract 4283.02; Alameda County; California,7022,3397,373,1995,186,0,2623,385,100,225500,2516,50,7022,3110,61,2837,480,06,001,428302,Alameda,06001428302
Census Tract 4284; Alameda County; California,4756,2382,308,1178,114,12,1766,248,48,94231,1836,124,4756,1763,343,1242,783,06,001,428400,Alameda,06001428400
Census Tract 4285; Alameda County; California,3302,1785,311,873,30,103,1362,164,57,138571,1432,135,3302,1376,361,841,538,06,001,428500,Alameda,06001428500
Census Tract 4286; Alameda County; California,3235,1863,217,841,49,33,1230,77,12,116833,1552,106,3235,1374,193,1046,362,06,001,428600,Alameda,06001428600
Census Tract 4287; Alameda County; California,5078,2035,189,1015,177,50,1543,125,57,117153,1495,283,5078,1147,899,1946,683,06,001,428700,Alameda,06001428700
Census Tract 4301.01; Alameda County; California,7034,3611,185,2460,256,36,3005,296,135,204527,2257,13,7034,2381,206,3426,698,06,001,430101,Alameda,06001430101
Census Tract 4301.02; Alameda County; California,2459,1081,81,760,76,39,959,110,41,177250,925,11,2459,1314,22,563,355,06,001,430102,Alameda,06001430102
Census Tract 4302; Alameda County; California,7713,3388,244,2232,140,21,2775,581,139,183182,2372,62,7713,3950,266,2172,780,06,001,430200,Alameda,06001430200
Census Tract 4303; Alameda County; California,4290,2088,98,1413,215,0,1726,173,46,169646,1309,44,4290,1880,21,1054,1049,06,001,430300,Alameda,06001430300
Census Tract 4304; Alameda County; California,2155,1068,48,683,65,5,843,83,31,206750,711,29,2155,1004,92,763,142,06,001,430400,Alameda,06001430400
Census Tract 4305; Alameda County; California,6250,3194,565,2032,256,16,2877,470,72,99189,2105,32,6250,1507,2328,1265,970,06,001,430500,Alameda,06001430500
