model,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std
Linear Regression,-2.9534523781379525,5.368648325063796,0.06410728451579853,0.02913786171321868,0.0852525286720067,0.04625412458310768
Gradient Boosting,-0.2493367945229604,0.30062557054798045,0.04759797085559882,0.009974759034306085,0.05988189825713057,0.014107305618549375
XGBoost,-0.24926984082399173,0.24069478529843139,0.04795326992802278,0.010367716364268956,0.06025358064482811,0.014744800204709715
